code.ID,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,temp
4536,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.2
4537,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.17
4538,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.15
4539,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.18
4540,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.12
4541,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.1
4542,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.06
4543,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.99
4544,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.91
4545,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.85
4546,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.78
4547,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.75
4548,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.72
4549,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.69
4550,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.67
4551,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.66
4552,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.62
4553,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.59
4554,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,30.57
4574,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.64
4575,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.66
4576,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.62
4577,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.62
4578,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.61
4579,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.61
4580,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.6
4581,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.53
4582,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.45
4583,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.4
4584,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.33
4585,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.28
4586,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.13
4587,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33
4588,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.92
4589,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.8
4590,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.72
4591,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.66
4681,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,33.08
4682,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,33.04
4683,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,33
4684,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.97
4685,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.83
4686,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.7
4687,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,1-H-O,0,32.61
